Message,Submitted By,Time,Reported Addresses/Domains
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce pellentesque vulputate iaculis. Integer lacus sapien, auctor quis nisi non, pulvinar accumsan ligula. Vivamus quis odio ut est iaculis lobortis ut eu leo. Nam mattis varius gravida. Vivamus aliquet vestibulum ex et rutrum. Mauris eu tempor mi, ac porttitor magna. Etiam id fermentum orci, et malesuada lacus. Morbi facilisis malesuada hendrerit. Fusce eu magna auctor, fringilla libero eget, sodales elit.",Submitted by Anonymous,"Oct 2, 2025","Reported Address, address-1, Reported Address, address-2, Reported Address, address-3, + 1 more"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,"Oct 2, 2025","Reported Address, 12CXxgEyFnbyqyJCDXpqsa7BnrCrbzYbsf"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 45.164.244.106 (abuse report also sent to: empresa@reidanettelecom.com.br)",Submitted by Anonymous,"Sep 30, 2025","Reported Address, 1LCvRgYda4NjVwJfhmT3eeeu1a9qWsCHit"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 186.82.84.241 (abuse report also sent to: ciro.mantilla@claro.com.co)",Submitted by Anonymous,"Sep 30, 2025","Reported Address, 1LCvRgYda4NjVwJfhmT3eeeu1a9qWsCHit"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 186.78.40.203 (abuse report also sent to: tecnical.isp.movistar@gmail.com)",Submitted by Anonymous,"Sep 30, 2025","Reported Address, 1LCvRgYda4NjVwJfhmT3eeeu1a9qWsCHit"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,"Sep 30, 2025","Reported Address, 1ArXVR3a9WP3FRMS9oKr8gh97Lh9P3xsaD"
"It's in German, but is just a translated version of a standard ""I put spyware on your computer and captured you watching porn"" type scam.",Submitted by Anonymous,"Sep 30, 2025","Reported Address, 1JZXTgphVzT59SHfyLJMgS18ry35bAz7yb"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 187.255.97.16 (abuse report also sent to: virtua@virtua.com.br)",Submitted by Anonymous,"Sep 29, 2025","Reported Address, 1LCvRgYda4NjVwJfhmT3eeeu1a9qWsCHit"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 126.209.73.158 (abuse report also sent to: report_abuse@infinivan.com)",Submitted by Anonymous,"Sep 29, 2025","Reported Address, 1LCvRgYda4NjVwJfhmT3eeeu1a9qWsCHit"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 222.120.57.251 (abuse report also sent to: kornet_ip@kt.com,spamrelay@certcc.or.kr,abuse@kornet.net)",Submitted by Anonymous,"Sep 29, 2025","Reported Address, 1LCvRgYda4NjVwJfhmT3eeeu1a9qWsCHit"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 106.244.66.57 (abuse report also sent to: irt@nic.or.kr)",Submitted by Anonymous,"Sep 29, 2025","Reported Address, 1LCvRgYda4NjVwJfhmT3eeeu1a9qWsCHit"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 191.37.26.115 (abuse report also sent to: noc@micron.com.br)",Submitted by Anonymous,"Sep 29, 2025","Reported Address, 1LCvRgYda4NjVwJfhmT3eeeu1a9qWsCHit"
Subject: Reporting Suspected Online Fraud – Site chainwex.com  Details: I discovered a website at,Submitted by Anonymous,"Sep 29, 2025","Reported Domain, https://chainwex.com/profile/verification"
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce pellentesque vulputate iaculis. Integer lacus sapien, auctor quis nisi non, pulvinar accumsan ligula. Vivamus quis odio ut est iaculis lobortis ut eu leo. Nam mattis varius gravida. Vivamus aliquet vestibulum ex et rutrum. Mauris eu tempor mi, ac porttitor magna. Etiam id fermentum orci, et malesuada lacus. Morbi facilisis malesuada hendrerit. Fusce eu magna auctor, fringilla libero eget, sodales elit.",Submitted by Anonymous,"Sep 29, 2025","Reported Address, address-1, Reported Address, address-2, Reported Address, address-3, + 1 more"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 87.202.67.41 (abuse report also sent to: abuse@ote.gr)",Submitted by Anonymous,"Sep 29, 2025","Reported Address, 1LCvRgYda4NjVwJfhmT3eeeu1a9qWsCHit"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 102.254.145.27 (abuse report also sent to: abuse@saix.net)",Submitted by Anonymous,"Sep 27, 2025","Reported Address, 1LCvRgYda4NjVwJfhmT3eeeu1a9qWsCHit"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 168.181.15.87 (abuse report also sent to: pauloviny9@hotmail.com)",Submitted by Anonymous,"Sep 27, 2025","Reported Address, 1LCvRgYda4NjVwJfhmT3eeeu1a9qWsCHit"
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce pellentesque vulputate iaculis. Integer lacus sapien, auctor quis nisi non, pulvinar accumsan ligula. Vivamus quis odio ut est iaculis lobortis ut eu leo. Nam mattis varius gravida. Vivamus aliquet vestibulum ex et rutrum. Mauris eu tempor mi, ac porttitor magna. Etiam id fermentum orci, et malesuada lacus. Morbi facilisis malesuada hendrerit. Fusce eu magna auctor, fringilla libero eget, sodales elit.",Submitted by Anonymous,"Sep 27, 2025","Reported Address, address-1, Reported Address, address-2, Reported Address, address-3, + 1 more"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 197.3.67.107 (abuse report also sent to: abuse@ati.tn)",Submitted by Anonymous,"Sep 27, 2025","Reported Address, 1LCvRgYda4NjVwJfhmT3eeeu1a9qWsCHit"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,"Sep 27, 2025","Reported Address, 1JZXTgphVzT59SHfyLJMgS18ry35bAz7yb"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 148.63.113.255 (abuse report also sent to: abuse@ripe.net)",Submitted by Anonymous,"Sep 27, 2025","Reported Address, 1LCvRgYda4NjVwJfhmT3eeeu1a9qWsCHit"
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce pellentesque vulputate iaculis. Integer lacus sapien, auctor quis nisi non, pulvinar accumsan ligula. Vivamus quis odio ut est iaculis lobortis ut eu leo. Nam mattis varius gravida. Vivamus aliquet vestibulum ex et rutrum. Mauris eu tempor mi, ac porttitor magna. Etiam id fermentum orci, et malesuada lacus. Morbi facilisis malesuada hendrerit. Fusce eu magna auctor, fringilla libero eget, sodales elit.",Submitted by Anonymous,"Sep 23, 2025","Reported Address, address-1, Reported Address, address-2, Reported Address, address-3, + 1 more"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,"Sep 23, 2025","Reported Address, 19pGyiFLBtD5s1tMKGE2BhCZn8ju88Ud5u"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,"Sep 21, 2025","Reported Address, 1JZXTgphVzT59SHfyLJMgS18ry35bAz7yb"
Crypto scan,Submitted by Anonymous,"Sep 21, 2025","Reported Address, 0x39D3879D73bBd3a27001B2a58Edb83c39d4d12fB"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 105.235.137.2 (abuse report also sent to: itnetwork@ooredoo.dz)",Submitted by Anonymous,"Sep 21, 2025","Reported Address, 1JZXTgphVzT59SHfyLJMgS18ry35bAz7yb"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,"Sep 20, 2025","Reported Address, 1JZXTgphVzT59SHfyLJMgS18ry35bAz7yb"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 103.139.10.22 (abuse report also sent to: abuse@starnet.net.id)",Submitted by Anonymous,"Sep 20, 2025","Reported Address, bc1qfxjszasgvv3nm2eaxwh3qj2l7awrjmpl7cm53u"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,"Sep 19, 2025","Reported Address, bc1qhq8rh48yn6yzt9s922slxpz09dqpe73xczknap"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,"Sep 19, 2025","Reported Address, 1JZXTgphVzT59SHfyLJMgS18ry35bAz7yb"
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce pellentesque vulputate iaculis. Integer lacus sapien, auctor quis nisi non, pulvinar accumsan ligula. Vivamus quis odio ut est iaculis lobortis ut eu leo. Nam mattis varius gravida. Vivamus aliquet vestibulum ex et rutrum. Mauris eu tempor mi, ac porttitor magna. Etiam id fermentum orci, et malesuada lacus. Morbi facilisis malesuada hendrerit. Fusce eu magna auctor, fringilla libero eget, sodales elit.",Submitted by Anonymous,"Sep 19, 2025","Reported Address, address-1, Reported Address, address-2, Reported Address, address-3, + 1 more"
I received an extortion email threatening physical violence (acid attack) and demanding payment in Bitcoin. The attacker provided a Bitcoin address and said they will carry out the attack if not paid. I did not send any funds. I am reporting to flag the wallet and help prevent others being victimized.,Submitted by Anonymous,"Sep 19, 2025","Reported Address, 1MBaTDD9tjk2iNZWUthPypKue3nQyUAd8K"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 45.193.16.9 (abuse report also sent to: abuse@cloudinnovation.org)",Submitted by Anonymous,"Sep 19, 2025","Reported Address, 17VzA9d41j92jSqimGDZyyUU9MTSUNTYyS"
"scammer contacted us by e-mail impersonating us (sending from our own domain) with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below",Submitted by Anonymous,"Sep 18, 2025","Reported Address, 1JZXTgphVzT59SHfyLJMgS18ry35bAz7yb"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 45.193.16.9 (abuse report also sent to: abuse@cloudinnovation.org)",Submitted by Anonymous,"Sep 18, 2025","Reported Address, 17VzA9d41j92jSqimGDZyyUU9MTSUNTYyS"
"scammer contacted us by e-mail with threatening content (e.g. blackmail, sextortion, ...) demanding payment to bitcoin address below Mail originating from IP: 190.52.75.100 (abuse report also sent to: eng@blinktelecom.com.br)",Submitted by Anonymous,"Sep 18, 2025","Reported Address, 1JZXTgphVzT59SHfyLJMgS18ry35bAz7yb"
